studio,day,program,coach,timeslot,capacity
s5,d6,p106,c206,t304,71
s3,d5,p103,c205,t301,34
s6,d7,p104,c201,t307,91
s5,d4,p101,c207,t303,80
s6,d4,p107,c207,t306,40
s2,d1,p107,c204,t307,94
s3,d2,p107,c203,t306,94
s6,d7,p105,c202,t306,43
s2,d7,p101,c203,t307,22
s6,d1,p101,c203,t303,41
s2,d3,p104,c202,t304,72
s7,d7,p105,c202,t303,21
s7,d4,p101,c203,t302,49
s4,d4,p106,c201,t301,57
s1,d2,p106,c206,t305,21
s4,d4,p105,c206,t307,83
s6,d1,p104,c205,t303,79
s2,d2,p105,c207,t303,40
s4,d5,p105,c201,t307,52
s4,d1,p103,c201,t307,95
s3,d3,p103,c201,t303,77
s4,d5,p105,c202,t307,41
s3,d4,p102,c207,t306,68
s7,d4,p101,c206,t306,78
s4,d7,p102,c205,t305,61
s6,d7,p102,c206,t303,79
s7,d7,p107,c203,t304,99
s4,d7,p101,c206,t302,34
s2,d7,p102,c202,t306,81
s7,d2,p107,c202,t303,81
s2,d5,p106,c207,t301,66
s5,d3,p107,c203,t302,81
s7,d4,p104,c207,t306,70
s5,d1,p106,c205,t307,74
s3,d4,p107,c201,t305,83
s7,d2,p107,c203,t304,22
s2,d6,p106,c204,t303,70
s5,d7,p105,c201,t305,26
s6,d3,p103,c201,t301,40
s4,d3,p103,c205,t307,92
s2,d4,p105,c202,t304,58
s6,d5,p105,c203,t302,37
s6,d5,p105,c203,t303,23
s7,d5,p101,c204,t305,79
s4,d3,p107,c203,t305,33
s4,d1,p106,c201,t303,28
s6,d3,p101,c206,t307,72
s3,d7,p104,c201,t302,21
s7,d3,p107,c202,t301,79
s2,d7,p107,c204,t301,90
s4,d6,p102,c206,t307,63
s3,d4,p102,c205,t301,27
s1,d4,p106,c201,t306,66
s1,d5,p103,c207,t301,54
s4,d3,p106,c202,t304,97
s4,d3,p102,c202,t306,55
s1,d2,p103,c202,t306,69
s5,d4,p105,c204,t303,23
s3,d7,p107,c202,t306,21
s4,d2,p105,c203,t307,25
s7,d3,p103,c202,t301,73
s1,d6,p101,c202,t304,23
s1,d1,p106,c205,t307,73
s1,d6,p101,c205,t303,82
s1,d6,p103,c207,t307,37
s7,d6,p101,c201,t302,63
s1,d6,p107,c204,t306,53
s1,d6,p107,c202,t304,93
s4,d7,p104,c201,t305,81
s6,d6,p102,c201,t307,33
s6,d2,p104,c202,t301,67
s3,d4,p105,c201,t302,34
s1,d6,p106,c201,t307,91
s1,d3,p104,c207,t304,97
s6,d2,p101,c204,t307,81
s1,d7,p107,c202,t306,59
s1,d6,p101,c203,t304,99
s1,d4,p102,c202,t307,72
s2,d3,p103,c204,t301,43
s2,d3,p101,c206,t305,45
s1,d2,p104,c204,t301,79
s1,d7,p102,c203,t305,60
s5,d2,p107,c207,t303,48
s5,d4,p101,c203,t304,34
s3,d1,p101,c201,t301,64
s2,d2,p103,c205,t303,84
s4,d4,p105,c202,t303,90
s3,d3,p107,c203,t307,28
s7,d4,p107,c202,t305,20
s7,d2,p104,c204,t305,27
s3,d5,p106,c205,t303,82
s1,d2,p101,c203,t304,30
s1,d4,p107,c203,t303,27
s4,d6,p103,c204,t307,54
s5,d6,p107,c202,t307,54
s1,d7,p105,c202,t307,52
s2,d5,p102,c206,t306,24
s4,d7,p103,c205,t304,60
s6,d2,p103,c206,t306,47
s4,d1,p106,c204,t302,26
s1,d7,p107,c202,t306,92
s4,d5,p104,c203,t302,91
s5,d4,p102,c205,t305,31
s1,d5,p107,c205,t304,53
s5,d5,p102,c205,t307,52
s5,d4,p107,c205,t302,67
s6,d1,p101,c205,t304,42
s2,d4,p105,c201,t303,81
s1,d5,p104,c201,t303,56
s2,d4,p104,c201,t303,63
s2,d3,p102,c201,t305,54
s4,d4,p101,c207,t303,84
s3,d1,p105,c206,t304,66
s1,d7,p104,c207,t307,97
s5,d7,p107,c203,t306,22
s6,d4,p107,c203,t305,20
s4,d3,p106,c204,t304,24
s2,d6,p107,c202,t305,33
s6,d3,p101,c204,t303,46
s2,d6,p101,c205,t305,28
s1,d5,p105,c205,t304,98
s4,d7,p103,c201,t304,34
s6,d4,p105,c207,t306,61
s6,d4,p104,c207,t306,96
s5,d1,p105,c201,t306,70
s2,d4,p107,c203,t307,82
s4,d2,p104,c202,t304,71
s7,d3,p105,c201,t304,23
s5,d1,p101,c201,t302,42
s4,d6,p105,c205,t301,34
s2,d1,p102,c207,t301,62
s2,d6,p107,c207,t306,48
s5,d7,p105,c203,t307,55
s4,d5,p106,c206,t306,32
s2,d4,p103,c205,t303,51
s7,d4,p107,c203,t306,90
s4,d4,p105,c205,t301,78
s7,d6,p103,c202,t303,47
s1,d5,p106,c207,t303,85
s7,d7,p107,c204,t306,61
s5,d4,p105,c205,t304,64
s3,d4,p106,c205,t306,81
s5,d3,p107,c205,t305,76
s2,d4,p106,c205,t301,25
s4,d1,p103,c203,t302,47
s6,d4,p105,c203,t302,47
s5,d2,p102,c203,t305,63
s3,d2,p102,c202,t304,49
s1,d2,p107,c201,t303,81
s2,d3,p101,c206,t305,94
s4,d2,p104,c203,t302,81
s1,d2,p103,c202,t304,20
s2,d5,p106,c201,t307,46
s5,d2,p105,c202,t307,81
s5,d6,p101,c204,t303,96
s3,d2,p102,c206,t301,22
s6,d4,p103,c205,t304,89
s1,d7,p106,c202,t307,91
s5,d6,p103,c202,t302,46
s3,d6,p104,c204,t304,28
s4,d1,p104,c202,t305,81
s4,d7,p105,c205,t307,56
