"id","name"
63351,"fullbody"
63359,"training"
63358,"fullbody"
63357,"fullbody"
63372,"30minexpress"
63355,"fullbody"
63354,"fullbody"
63353,"fullbody"
63352,"fullbody"
63361,"training"
63350,"fullbody"
63349,"fullbody"
63348,"fullbody"
63347,"fullbody"
63346,"fullbody"
63345,"fullbody"
63369,"fullbody"
63162,"fullbody"
63373,"30minexpress"
63362,"training"
63363,"training"
63364,"training"
63365,"training"
63366,"fullbody"
63367,"fullbody"
63368,"fullbody"
63360,"training"
63370,"fullbody"
63371,"30minexpress"
63356,"fullbody"
63344,"fullbody"
63343,"fullbody"
63342,"fullbody"
5457,"training"
5458,"fullbody"
5448,"fullbody"
5231,"beginner"
5451,"fullbody"
5452,"fullbody"
5449,"fullbody"
5456,"training"
5444,"fullbody"
5329,"training"
5328,"training"
5327,"training"
7762,"training"
7770,"training"
7769,"training"
7778,"training"
7768,"training"
7767,"training"
7766,"training"
7764,"training"
7773,"training"
7765,"training"
7772,"training"
7774,"training"
7775,"training"
7776,"training"
7763,"training"
7777,"training"
7779,"training"
7780,"training"
7781,"training"
7771,"training"
11299,""
8569,""
8405,"fullbody"
8641,"training"
5267,"training"
5254,"training"
5255,"training"
5256,"training"
5257,"training"
5258,"training"
5262,"training"
5263,"training"
5265,"training"
5272,"training"
5271,"training"
5270,"training"
5269,"training"
5260,"training"
5268,"training"
5266,"training"
5264,"training"
7190,"training"
7196,"training"
7198,"training"
7195,"training"
7194,"training"
7193,"training"
7191,"training"
7197,"training"
7200,"training"
7189,"training"
7179,"training"
7180,"training"
7181,"training"
7192,"training"
7199,"training"
27252,""
27258,"training"
2297,"fullbody"
2435,"30minexpress"
1975,"fullbody"
2436,"fullbody"
1293,"fullbody"
1832,"fullbody"
1085,"fullbody"
1084,"fullbody"
1443,"30minexpress"
1444,"beginner"
2579,"30minexpress"
3015,"fullbody"
3310,"fullbody"
3620,""
3637,"fullbody"
2997,"fullbody"
3401,"fullbody"
61612,"fullbody"
61979,"fullbody"
63375,"fullbody"
63376,"fullbody"
63377,"fullbody"
63378,"fullbody"
60328,"fullbody"
9432,"fullbody"
9494,"bunsabs"
5459,"training"
5460,"fullbody"
5461,"fullbody"
5462,"fullbody"
5463,"fullbody"
10614,"armsabs"
5334,"fullbody"
5333,"fullbody"
5316,"fullbody"
5321,"fullbody"
5332,"training"
5331,"fullbody"
5322,"fullbody"
5889,"training"
5890,"training"
5891,"training"
5892,"training"
5893,"training"
5894,"training"
5895,"training"
11300,"training"
10590,"fullbody"
5261,"training"
5259,"training"
5263,"training"
16481,"fullbody"
16634,"fullbody"
15249,"fullbody"
15649,"fullbody"
15422,"fullbody"
27259,"fullbody"
27265,"training"
27264,"training"
27262,"training"
27261,"training"
27260,"training"
27263,"training"
5741,"training"
5742,"training"
5740,"training"
5694,"fullbody"
2377,"fullbody"
2378,"fullbody"
2437,"training"
2438,"training"
3411,"fullbody"
3412,"fullbody"
3431,"fullbody"
2712,"fullbody"
2713,"fullbody"
489,"training"
481,"training"
491,"training"
490,"training"
472,"training"
473,"training"
474,"training"
475,"training"
476,"training"
478,"training"
479,"training"
480,"training"
482,"training"
483,"training"
484,"training"
485,"training"
486,"training"
487,"training"
488,"training"
477,"training"
63386,"bunsabs"
62576,"fullbody"
60647,"armsabs"
63067,"fullbody"
63309,"training"
63310,"training"
63311,"training"
63312,"training"
63313,"training"
63380,"training"
63381,"training"
63382,""
63383,"advanced"
63384,"advanced"
63385,"fullbody"
63387,"training"
63379,"training"
9411,"fullbody"
9412,"fullbody"
9417,"fullbody"
9418,"fullbody"
9464,"fullbody"
5464,"fullbody"
5467,"fullbody"
5465,"fullbody"
5466,"fullbody"
10365,"fullbody"
10561,"fullbody"
29028,"fullbody"
29027,"fullbody"
29270,"fullbody"
29271,"fullbody"
28782,"fullbody"
29021,"fullbody"
29022,"fullbody"
15131,""
15132,"30minexpress"
7090,"training"
7203,"training"
7202,"training"
7208,"training"
7204,"training"
7207,"training"
7210,"training"
7209,"training"
7035,"training"
16840,"training"
16839,"training"
16105,"training"
16104,"training"
16103,"training"
16085,"training"
16102,"training"
16087,"training"
16086,"training"
16100,"training"
16088,"training"
16089,"training"
16106,"training"
16117,"training"
16107,"training"
16108,"training"
16109,"training"
16110,"training"
16111,"training"
16112,"training"
16113,"training"
16114,"training"
16115,"training"
16091,"training"
16090,"training"
16084,"training"
16083,"training"
16082,"training"
16081,"training"
16080,"training"
16079,"training"
16078,"training"
16077,"training"
16116,"training"
16101,"training"
16093,"training"
16094,"training"
16095,"training"
16096,"training"
16097,"training"
16098,"training"
16099,"training"
16092,"training"
27277,"training"
27276,"training"
