classid,classname
20725,fullbody
2,nan
10,nan
3,nan
4,nan
11,nan
5,nan
30,nan
29,nan
12,nan
33,nan
6,nan
8,nan
7,nan
31,nan
32,nan
9,nan
36,nan
35,nan
13,nan
19,nan
23,nan
22,nan
38,nan
37,nan
28,nan
34,fullbody
14,nan
15,nan
16,nan
17,nan
18,nan
44,nan
52,nan
49,nan
24,nan
45,nan
46,nan
47,nan
48,nan
50,nan
51,nan
77,nan
78,nan
79,nan
39,nan
25,nan
26,nan
27,nan
40,nan
41,nan
42,nan
43,nan
81,nan
80,nan
67,nan
68,nan
69,nan
66,fullbody
70,nan
71,nan
72,nan
73,nan
74,fullbody
61,fullbody
53,nan
55,nan
56,nan
57,nan
58,nan
59,nan
60,nan
64,nan
65,nan
54,nan
82,nan
62,fullbody
63,fullbody
83,nan
75,nan
76,nan
121,nan
120,nan
111,nan
112,nan
113,nan
114,nan
115,nan
116,nan
117,nan
118,nan
119,nan
84,nan
85,nan
88,fullbody
86,nan
122,nan
89,fullbody
87,nan
90,nan
91,nan
93,fullbody
92,nan
94,nan
95,nan
96,nan
97,nan
100,nan
102,nan
99,nan
98,nan
103,nan
101,fullbody
104,nan
105,fullbody
107,nan
106,nan
108,nan
109,nan
110,nan
123,nan
124,nan
151,nan
125,nan
126,nan
130,fullbody
128,nan
127,nan
129,nan
132,fullbody
131,nan
133,nan
134,nan
135,fullbody
136,nan
138,nan
137,nan
139,nan
140,nan
141,nan
143,nan
142,nan
144,nan
150,fullbody
146,fullbody
145,nan
147,nan
148,nan
149,nan
157,nan
158,nan
152,nan
153,nan
154,nan
155,nan
156,nan
159,nan
160,nan
161,nan
196,nan
195,nan
162,nan
163,nan
167,fullbody
190,nan
164,nan
191,nan
168,fullbody
165,nan
166,nan
185,nan
169,nan
186,nan
187,nan
171,fullbody
170,nan
188,nan
189,nan
173,nan
174,nan
175,nan
176,nan
179,nan
177,nan
180,nan
192,nan
178,fullbody
172,fullbody
181,nan
193,nan
194,nan
182,nan
183,nan
184,nan
197,nan
198,nan
199,fullbody
200,nan
241,nan
201,nan
246,nan
226,nan
202,nan
203,fullbody
204,nan
227,nan
242,nan
205,nan
243,nan
206,fullbody
244,nan
229,nan
207,nan
228,nan
230,nan
208,nan
231,nan
232,nan
210,fullbody
209,nan
233,nan
211,nan
234,nan
212,nan
213,nan
214,nan
215,nan
216,nan
219,nan
235,nan
217,nan
220,nan
237,nan
236,fullbody
218,fullbody
222,fullbody
221,nan
238,nan
223,nan
239,nan
240,nan
224,nan
225,nan
296,nan
245,nan
247,nan
269,nan
259,fullbody
270,nan
248,nan
249,nan
260,fullbody
271,nan
272,nan
250,nan
273,nan
251,nan
