date,studio,location,program,day,demand,group
2014-10-19,44717,4,fullbody,7,1.0,fullbody-4
2014-10-20,44717,4,fullbody,1,1.0,fullbody-4
2014-10-24,44717,4,fullbody,5,1.0,fullbody-4
2014-10-25,44717,4,fullbody,6,1.0,fullbody-4
2014-10-26,44717,4,fullbody,7,1.0,fullbody-4
2014-10-28,44717,4,fullbody,2,1.0,fullbody-4
2014-10-30,44717,4,fullbody,4,1.0,fullbody-4
2014-11-01,44717,4,fullbody,3,16.928571428571427,fullbody-4
2014-11-02,44717,4,fullbody,7,14.166666666666666,fullbody-4
2014-11-04,44717,4,fullbody,2,17.0,fullbody-4
2014-11-05,44717,4,fullbody,3,17.0,fullbody-4
2014-11-06,44717,4,fullbody,4,17.0,fullbody-4
2014-11-09,44717,4,fullbody,7,1.0,fullbody-4
2014-11-15,44717,4,fullbody,6,15.0,fullbody-4
2014-11-16,44717,4,fullbody,7,1.0,fullbody-4
2014-11-17,44717,4,fullbody,1,17.0,fullbody-4
2014-11-18,44717,4,fullbody,2,6.0,fullbody-4
2014-11-19,44717,4,fullbody,3,17.0,fullbody-4
2014-11-21,44717,4,fullbody,5,9.0,fullbody-4
2014-11-22,44717,4,fullbody,6,1.0,fullbody-4
2014-11-25,44717,4,fullbody,2,13.0,fullbody-4
2014-11-27,44717,4,fullbody,5,17.0,fullbody-4
2014-11-28,44717,4,fullbody,5,9.0,fullbody-4
2014-12-01,44717,4,fullbody,3,17.0,fullbody-4
2014-12-03,44717,4,fullbody,3,17.0,fullbody-4
2014-12-05,44717,4,fullbody,5,17.0,fullbody-4
2014-12-06,44717,4,fullbody,6,15.666666666666666,fullbody-4
2014-12-10,44717,4,fullbody,3,15.666666666666666,fullbody-4
2014-12-12,44717,4,fullbody,5,17.0,fullbody-4
2014-12-15,44717,4,fullbody,1,17.0,fullbody-4
2014-12-17,44717,4,fullbody,3,17.0,fullbody-4
2014-12-22,44717,4,fullbody,1,17.0,fullbody-4
2014-12-24,44717,4,fullbody,3,17.0,fullbody-4
2014-12-25,44717,4,fullbody,4,17.0,fullbody-4
2014-12-26,44717,4,fullbody,5,17.0,fullbody-4
2014-12-29,44717,4,fullbody,1,17.0,fullbody-4
2014-12-31,44717,4,fullbody,3,16.25,fullbody-4
2015-01-01,44717,4,fullbody,4,17.166666666666668,fullbody-4
2015-01-02,44717,4,fullbody,5,17.0,fullbody-4
2015-01-03,44717,4,fullbody,6,17.0,fullbody-4
2015-01-04,44717,4,fullbody,7,17.0,fullbody-4
2015-01-05,44717,4,fullbody,1,17.0,fullbody-4
2015-01-06,44717,4,fullbody,2,17.0,fullbody-4
2015-01-07,44717,4,fullbody,2,17.0,fullbody-4
2015-01-08,44717,4,fullbody,4,17.0,fullbody-4
2015-01-09,44717,4,fullbody,4,17.0,fullbody-4
2015-01-16,44717,4,fullbody,5,13.0,fullbody-4
2015-02-01,44717,4,fullbody,3,17.0,fullbody-4
2015-02-02,44717,4,fullbody,4,17.0,fullbody-4
2015-02-03,44717,4,fullbody,2,17.0,fullbody-4
2015-02-05,44717,4,fullbody,6,17.0,fullbody-4
2015-02-11,44717,4,fullbody,3,17.0,fullbody-4
2015-02-21,44717,4,fullbody,6,17.0,fullbody-4
2015-02-22,44717,4,fullbody,7,17.0,fullbody-4
